eval,event,obj,cv,dou,mean,std,s_star,s_lo,s_hi,sim_s,P0=P1,P2,P3,P4,P5,P6,P7,PPFD_per_W
1,eval,0.10523328762901683,0.02268782323702079,97.73121767629792,1391.426591111111,31.568440546419293,0.8560808022841824,0.9926446596259467,0.9926446603649541,8.893213987350464,55.00000001861207,65.00000001116724,65.00000001116724,55.00000001861207,65.00000001116724,40.000000029779336,80.0,0.20006133584479746
2,cached,0.10523328762901683,0.02268782323702079,97.73121767629792,1391.426591111111,31.568440546419293,0.8560808022841824,0.9926446596259467,0.9926446603649541,8.893213987350464,55.00000001861207,65.00000001116724,65.00000001116724,55.00000001861207,65.00000001116724,40.000000029779336,80.0,0.20006133584479746
3,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.1450801316020864,0.6127293663559451,0.0,130.56335209748477,56.76458631050916,56.76458631050916,48.031573039971235,56.76458631050916,34.932053134164356,69.86410621631605,0.20006133584479746
4,infeas,1.0,1.0,0.0,0.0,0.0,inf,2.8894033484291133,0.7877848674996594,0.0,13.843688532356296,82.50983573405003,82.50983573405003,69.81601486351965,82.50983573405003,50.77528355772413,101.55056703984555,0.20006133584479746
5,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.2261842984702616,0.9087610494733508,0.0,32.62152357512847,71.52595288809565,71.52595288809565,60.52196014616375,71.52595288809565,44.015971033265906,88.0319420009935,0.20006133584479746
6,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.0483149306586124,1.040718663705575,0.0,76.8699580299181,62.00426805133744,62.00426805133744,52.465149898333785,62.00426805133744,38.15647266882832,76.31294528084291,0.20006133584479746
7,skipped,1.0802574844848074,1.0,0.0,0.0,0.0,0.845488551538175,0.9760470151649087,0.9760470158915596,0.0,48.876621680183945,64.99999998697153,64.99999998697153,54.99999999813878,64.99999998697153,40.00000001488967,79.99999997022066,0.20006133584479746
8,skipped,1.085739462426364,1.0,0.0,0.0,0.0,0.8687155087824686,1.0135510450183967,1.0135510457729684,0.0,63.63930039265427,64.99999998697155,64.99999998697155,54.99999999813878,64.99999998697155,40.00000001488967,79.99999997022068,0.20006133584479746
9,skipped,1.0837153846456145,1.0,0.0,0.0,0.0,0.8609723999096927,1.000578798171673,1.0005787989165875,0.0,58.1520580377217,64.99999998697152,64.99999998697152,54.99999999813878,64.99999998697152,40.00000001488967,79.99999997022064,0.20006133584479746
10,skipped,1.0816419316147905,1.0,0.0,0.0,0.0,0.8520699672657324,0.9862718679233871,0.98627186865765,0.0,52.575393978556846,64.99999998697155,64.99999998697155,54.99999999813879,64.99999998697155,40.00000001488967,79.99999997022067,0.20006133584479746
11,skipped,1.0829852770684303,1.0,0.0,0.0,0.0,0.8579581668845975,0.9956677775284406,0.9956677782696987,0.0,56.18329208962893,64.99999998697155,64.99999998697155,54.99999999813879,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
12,skipped,1.0821959030294799,1.0,0.0,0.0,0.0,0.8545542148362122,0.9902056239059043,0.9902056246430959,0.0,54.06095788156933,64.99999998697155,64.99999998697155,54.99999999813878,64.99999998697155,40.00000001488967,79.99999997022067,0.20006133584479746
13,skipped,1.0827124418567777,1.0,0.0,0.0,0.0,0.8567991623455447,0.9937983029257256,0.993798303665592,0.0,55.44900684127754,64.99999998697155,64.99999998697155,54.99999999813879,64.99999998697155,40.000000014889665,79.99999997022066,0.20006133584479746
14,skipped,1.0824112886567612,1.0,0.0,0.0,0.0,0.8554985051246976,0.9917123225943473,0.9917123233326607,0.0,54.639407806706416,64.99999998697153,64.99999998697153,54.99999999813878,64.99999998697153,40.00000001488967,79.99999997022066,0.20006133584479746
15,skipped,1.0826090966214035,1.0,0.0,0.0,0.0,0.8563553749220998,0.993085153987103,0.9930851547264383,0.0,55.17107457736801,64.99999998697155,64.99999998697155,54.99999999813878,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
16,skipped,1.0824941178397893,1.0,0.0,0.0,0.0,0.8558585033293761,0.9922884351653619,0.992288435904104,0.0,54.86198600337824,64.99999998697155,64.99999998697155,54.999999998138776,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
17,skipped,1.0825697482640926,1.0,0.0,0.0,0.0,0.856185706368158,0.9928128904281565,0.9928128911672893,0.0,55.06528196796574,64.99999998697153,64.99999998697153,54.99999999813878,64.99999998697153,40.00000001488967,79.99999997022067,0.20006133584479746
18,skipped,1.0825258377290505,1.0,0.0,0.0,0.0,0.8559959090231496,0.992508578901704,0.99250857964061,0.0,54.94724241110611,64.99999998697155,64.99999998697155,54.99999999813879,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
19,skipped,1.082554736874495,1.0,0.0,0.0,0.0,0.8561208759631356,0.9927089147075473,0.9927089154466027,0.0,55.02492635088262,64.99999998697152,64.99999998697152,54.99999999813878,64.99999998697152,40.000000014889665,79.99999997022066,0.20006133584479746
20,skipped,1.0825379656264953,1.0,0.0,0.0,0.0,0.8560483784838067,0.9925926792139226,0.9925926799528915,0.0,54.979842417259235,64.99999998697153,64.99999998697153,54.99999999813879,64.99999998697153,40.00000001488967,79.99999997022066,0.20006133584479746
21,skipped,1.0825490057083704,1.0,0.0,0.0,0.0,0.8560961096336208,0.992669202391523,0.9926692031305486,0.0,55.009519684312444,64.99999998697155,64.99999998697155,54.99999999813878,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
22,skipped,1.0825425998197291,1.0,0.0,0.0,0.0,0.8560684178654477,0.9926248045545919,0.9926248052935845,0.0,54.992299615418645,64.99999998697156,64.99999998697156,54.99999999813879,64.99999998697156,40.000000014889665,79.99999997022067,0.20006133584479746
23,skipped,1.0825468169878254,1.0,0.0,0.0,0.0,0.8560866492538637,0.9926540340563196,0.992654034795334,0.0,55.00363600011936,64.99999998697155,64.99999998697155,54.99999999813879,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
24,skipped,1.0825443701791866,1.0,0.0,0.0,0.0,0.8560760719113755,0.9926370756168845,0.9926370763558865,0.0,54.99705858648981,64.99999998697155,64.99999998697155,54.99999999813878,64.99999998697155,40.00000001488967,79.99999997022066,0.20006133584479746
25,skipped,1.082545981027895,1.0,0.0,0.0,0.0,0.8560830356398605,0.9926482403291689,0.9926482410681791,0.0,55.00138879890014,64.99999998697155,64.99999998697155,54.99999999813879,64.99999998697155,40.000000014889665,79.99999997022066,0.20006133584479746
26,skipped,1.0825450464335449,1.0,0.0,0.0,0.0,0.8560789954504935,0.9926417627855021,0.9926417635245073,0.0,54.99887646032873,64.99999998697153,64.99999998697153,54.9999999981388,64.99999998697153,40.00000001488967,79.99999997022067,0.20006133584479746
27,skipped,1.0825456617279259,1.0,0.0,0.0,0.0,0.8560816553518764,0.9926460273313092,0.9926460280703177,0.0,55.00053046867117,64.99999998697155,64.99999998697155,54.99999999813879,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
28,skipped,1.08254530474515,1.0,0.0,0.0,0.0,0.856080112136297,0.9926435531303917,0.9926435538693983,0.0,54.999570842186536,64.99999998697153,64.99999998697153,54.99999999813878,64.99999998697153,40.000000014889665,79.99999997022066,0.20006133584479746
29,cached,0.10523328762901683,0.02268782323702079,97.73121767629792,1391.426591111111,31.568440546419293,0.8560808022841824,0.9926446596259467,0.9926446603649541,8.893213987350464,55.00000001861207,65.00000001116724,65.00000001116724,55.00000001861207,65.00000001116724,40.000000029779336,80.0,0.20006133584479746
