eval,cached,obj,mean,std,cv,dou,sim_s,p0,p1,p2,p3,p4,p5,p6,p7
1,0,0.1189226093718969,1391.7508866666667,32.07591376932472,0.02304716603856356,97.69528339614364,8.376869201660156,55.0,55.0,65.0,65.0,55.0,65.0,40.0,80.0
2,0,0.11681938173557245,1389.6671244444444,30.55297058167199,0.021985819513350244,97.80141804866498,8.230073928833008,51.73762078750735,55.0,65.0,65.0,55.0,65.0,40.0,80.0
3,0,0.1223659807318648,1393.618871111111,35.616083638108236,0.02555654517630927,97.44434548236907,8.313444137573242,68.26237921249263,55.0,65.0,65.0,55.0,65.0,40.0,80.0
4,0,0.11630012332607009,1387.0027466666668,31.621928860492435,0.022798749992736688,97.72012500072633,8.240601062774658,41.52475842498528,55.0,65.0,65.0,55.0,65.0,40.0,80.0
5,0,0.11761833377200584,1388.9060533333334,32.17443526593124,0.02316530710533916,97.68346928946609,8.231351137161255,44.24462526447529,55.0,65.0,65.0,55.0,65.0,40.0,80.0
6,0,0.11498769686135976,1385.0416844444444,31.117530193559574,0.022466854639137567,97.75331453608625,8.413045883178711,35.21286236252208,55.0,65.0,65.0,55.0,65.0,40.0,80.0
7,0,0.11576445138460999,1385.4457822222223,31.92283249673806,0.023041560273498823,97.69584397265012,8.255295991897583,31.311896062463198,55.0,65.0,65.0,55.0,65.0,40.0,80.0
8,0,0.1153646385796222,1386.3425422222222,30.767609476767674,0.022193367468511124,97.78066325314889,8.18009614944458,35.76033044279883,55.0,65.0,65.0,55.0,65.0,40.0,80.0
9,0,0.11351249129819685,1384.3120533333336,29.564011406014128,0.021356464631530087,97.86435353684699,8.204100847244263,33.761325225388276,55.0,65.0,65.0,55.0,65.0,40.0,80.0
10,0,0.11616518516238197,1386.4375622222221,31.813756494610164,0.02294640405127091,97.7053595948729,8.23780107498169,32.8257265381861,55.0,65.0,65.0,55.0,65.0,40.0,80.0
11,0,0.11518971300888024,1385.0368111111113,31.400595378872264,0.02267130745332459,97.73286925466755,8.190072059631348,34.31576307584068,55.0,65.0,65.0,55.0,65.0,40.0,80.0
12,0,0.11588987641679177,1386.3207622222221,31.510371257097695,0.022729495305680705,97.72705046943193,8.207395076751709,33.40395832670683,55.0,65.0,65.0,55.0,65.0,40.0,80.0
13,0,0.11535694198759491,1385.5258622222223,31.30458640069846,0.022594010876483783,97.74059891235162,9.428633689880371,33.97310163961166,55.0,65.0,65.0,55.0,65.0,40.0,80.0
14,0,0.11620094896111816,1386.282648888889,31.967157357357483,0.023059624516673625,97.69403754833263,8.244446992874146,33.624823216546105,55.0,65.0,65.0,55.0,65.0,40.0,80.0
15,0,0.11545472379960617,1385.0906333333332,31.731605235054424,0.02290940713293955,97.70905928670605,8.239268064498901,33.84465887374207,55.0,65.0,65.0,55.0,65.0,40.0,80.0
16,0,0.11421900359502027,1382.3548555555558,31.851634210616478,0.02304157581724238,97.69584241827576,8.216892004013062,33.761325225388276,51.73762078750735,65.0,65.0,55.0,65.0,40.0,80.0
17,0,0.12577946025648273,1396.9542599999997,38.14010655972062,0.027302330256482862,97.26976697435171,8.203277111053467,33.761325225388276,68.26237921249263,65.0,65.0,55.0,65.0,40.0,80.0
18,0,0.11455928228912646,1375.531551111111,36.85531387693487,0.02679350673357097,97.32064932664291,8.183696985244751,33.761325225388276,41.52475842498528,65.0,65.0,55.0,65.0,40.0,80.0
19,0,0.11452789801221636,1379.745151111111,34.0180616086587,0.024655322456660855,97.53446775433392,8.229116916656494,33.761325225388276,47.23895190124643,65.0,65.0,55.0,65.0,40.0,80.0
20,0,0.11723186778137933,1389.1292622222225,31.487721752386026,0.022667236670268095,97.73327633297319,8.17898416519165,33.761325225388276,58.04951684997055,65.0,65.0,55.0,65.0,40.0,80.0
21,0,0.11532204520680783,1386.1159355555556,30.86059251482133,0.02226407742903006,97.773592257097,8.341590881347656,33.761325225388276,54.14855054991167,65.0,65.0,55.0,65.0,40.0,80.0
22,0,0.11468021052816399,1381.848622222222,32.827056879104326,0.023755899417052966,97.62441005829471,8.236894845962524,33.761325225388276,50.01928217708732,65.0,65.0,55.0,65.0,40.0,80.0
23,0,0.11481320779210383,1383.9921866666666,31.578708133217432,0.022817114458770524,97.71828855412295,8.187342882156372,33.761325225388276,52.65851401225709,65.0,65.0,55.0,65.0,40.0,80.0
24,0,0.11295930449317507,1382.6151444444442,29.936012941276047,0.02165173227095295,97.8348267729047,8.272396087646484,33.761325225388276,51.08127384250817,65.0,65.0,55.0,65.0,40.0,80.0
25,0,0.11370090414909717,1382.6389688888887,30.94542306271063,0.02238141970465282,97.76185802953472,8.25593090057373,33.761325225388276,50.67562912208651,65.0,65.0,55.0,65.0,40.0,80.0
26,0,0.11390785687447108,1383.07426,30.940376517571128,0.022370726874471024,97.76292731255289,8.181410074234009,33.761325225388276,51.164607233965604,65.0,65.0,55.0,65.0,40.0,80.0
27,0,0.11473744895593234,1382.458131111111,32.49935578112842,0.023508383400376833,97.64916165996232,8.236048221588135,33.761325225388276,50.91228548042463,65.0,65.0,55.0,65.0,40.0,80.0
28,0,0.1131083441439117,1380.697891111111,31.423853633900634,0.022759398588356225,97.72406014116439,8.234323978424072,33.761325225388276,50.99794045105073,65.0,65.0,55.0,65.0,40.0,80.0
29,0,0.112123882213175,1361.6564755555555,42.61391690214284,0.031295644435397243,96.87043555646028,8.39071798324585,33.761325225388276,51.08127384250817,51.73762078750735,65.0,55.0,65.0,40.0,80.0
30,0,0.11856633196720168,1390.0809333333334,32.70285679444194,0.023525865300534975,97.6474134699465,8.232693910598755,33.761325225388276,51.08127384250817,68.26237921249263,65.0,55.0,65.0,40.0,80.0
31,0,0.11449100232028912,1343.717317777778,57.2858181662221,0.04263234343140017,95.73676565685997,8.24771499633789,33.761325225388276,51.08127384250817,41.52475842498528,65.0,55.0,65.0,40.0,80.0
32,0,0.11141360290606574,1360.7658333333334,42.225497619461045,0.031030686239399047,96.8969313760601,8.247092008590698,33.761325225388276,51.08127384250817,51.615708624656925,65.0,55.0,65.0,40.0,80.0
33,0,0.11235332812824707,1352.5703866666668,48.78469102590187,0.03606813479491369,96.39318652050864,8.18358588218689,33.761325225388276,51.08127384250817,46.82423093825392,65.0,55.0,65.0,40.0,80.0
34,0,0.11138966960733862,1358.0748644444445,43.9367604012664,0.03235223738511636,96.76477626148836,8.193458318710327,33.761325225388276,51.08127384250817,49.78552700478769,65.0,55.0,65.0,40.0,80.0
35,0,0.10979791590168823,1358.0053688888888,41.82008965511312,0.030795231457243832,96.92047685427562,8.231876850128174,33.761325225388276,51.08127384250817,50.698422115677545,65.0,55.0,65.0,40.0,80.0
36,0,0.11084426990807945,1360.2722333333336,41.77144819123863,0.030708153241412652,96.92918467585874,8.204077005386353,33.761325225388276,51.08127384250817,50.61508857021753,65.0,55.0,65.0,40.0,80.0
37,0,0.11095010123273558,1358.8754599999997,42.82138795457449,0.0315123712327357,96.84876287672644,8.26899003982544,33.761325225388276,51.08127384250817,51.048794384685934,65.0,55.0,65.0,40.0,80.0
38,0,0.11258457016442197,1359.8042577777778,44.441722801042054,0.03268244127553307,96.73175587244668,8.334796905517578,33.761325225388276,51.08127384250817,50.82860182818295,65.0,55.0,65.0,40.0,80.0
39,0,0.11047189733221877,1326.4145022222222,62.692512190079995,0.047264646221107695,95.27353537788923,8.279869079589844,33.761325225388276,51.08127384250817,50.698422115677545,51.73762078750735,55.0,65.0,40.0,80.0
40,0,0.11182933370607576,1365.4214533333336,39.759170742792016,0.029118607039408956,97.08813929605911,8.177326917648315,33.761325225388276,51.08127384250817,50.698422115677545,68.26237921249263,55.0,65.0,40.0,80.0
41,0,0.11355761756607483,1300.4832222222221,82.34140409279428,0.06331600645496376,93.66839935450363,8.262235164642334,33.761325225388276,51.08127384250817,50.698422115677545,41.52475842498528,55.0,65.0,40.0,80.0
42,0,0.10856105126070204,1338.285668888889,52.7528346583525,0.03941821681625756,96.05817831837425,8.284208059310913,33.761325225388276,51.08127384250817,50.698422115677545,57.14226245892731,55.0,65.0,40.0,80.0
43,0,0.11049785891578132,1343.9841177777778,51.75118367847054,0.03850580002689242,96.14941999731076,8.361349821090698,33.761325225388276,51.08127384250817,50.698422115677545,58.95172778917667,55.0,65.0,40.0,80.0
44,0,0.10954180330294178,1335.291828888889,55.94323805678842,0.041895888858497245,95.81041111415027,8.241490840911865,33.761325225388276,51.08127384250817,50.698422115677545,55.33555812936277,55.0,65.0,40.0,80.0
45,0,0.10979749284375662,1341.2552044444444,52.536819653652664,0.03916989062153441,96.08301093784655,8.178844928741455,33.761325225388276,51.08127384250817,50.698422115677545,57.833416713618014,55.0,65.0,40.0,80.0
46,0,0.10871868692734359,1336.8595488888889,53.860617367112496,0.04028891248289916,95.97110875171009,8.264348983764648,33.761325225388276,51.08127384250817,50.698422115677545,56.52966059029109,55.0,65.0,40.0,80.0
47,0,0.11114906988841956,1340.7794177777778,54.649312309945,0.040759360999530675,95.92406390004693,8.177903175354004,33.761325225388276,51.08127384250817,50.698422115677545,57.37404919710514,55.0,65.0,40.0,80.0
48,0,0.10843345874036696,1339.4525333333333,51.846446481337765,0.03870719207370028,96.12928079262997,8.1617751121521,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,55.0,65.0,40.0,80.0
49,0,0.1088391325406216,1338.1651577777777,53.200834890071626,0.03975655365173274,96.02434463482673,8.198555707931519,33.761325225388276,51.08127384250817,50.698422115677545,56.82493591332688,55.0,65.0,40.0,80.0
